,time,prediction,pvPower,date,area,familyID,state,totalaccurgenamount
53,2022-01-05 16:00:00,922.8516433720464,3052.0,2022-01-05 16:00:00,sc_jong,6-1,N,12839693.0
54,2022-01-05 17:00:00,-1940.4871973103525,45.0,2022-01-05 17:00:00,sc_jong,6-1,N,12839698.0
55,2022-01-06 07:00:00,1075.1931193162493,337.0,2022-01-06 07:00:00,sc_jong,6-1,N,12839711.0
56,2022-01-06 08:00:00,5464.954353715417,5020.0,2022-01-06 08:00:00,sc_jong,6-1,N,12839863.0
57,2022-01-06 09:00:00,18219.901776117385,15391.0,2022-01-06 09:00:00,sc_jong,6-1,N,12840267.0
58,2022-01-06 10:00:00,42290.894144335005,39829.0,2022-01-06 10:00:00,sc_jong,6-1,N,12841299.0
59,2022-01-06 11:00:00,64781.101108978655,49625.0,2022-01-06 11:00:00,sc_jong,6-1,N,12843163.0
60,2022-01-06 12:00:00,63382.585127798,82254.0,2022-01-06 12:00:00,sc_jong,6-1,N,12845044.0
61,2022-01-06 13:00:00,66851.23615390595,64474.0,2022-01-06 13:00:00,sc_jong,6-1,N,12846857.0
62,2022-01-06 14:00:00,58543.55556370559,27856.0,2022-01-06 14:00:00,sc_jong,6-1,N,12847642.0
63,2022-01-06 15:00:00,14003.781245519402,4498.0,2022-01-06 15:00:00,sc_jong,6-1,N,12847781.0
64,2022-01-06 16:00:00,-3120.038626535272,2036.0,2022-01-06 16:00:00,sc_jong,6-1,N,12847864.0
65,2022-01-06 17:00:00,-918.255030221068,134.0,2022-01-06 17:00:00,sc_jong,6-1,N,12847883.0
66,2022-01-07 07:00:00,-659.0266730203264,96.0,2022-01-07 07:00:00,sc_jong,6-1,N,12847891.0
67,2022-01-07 08:00:00,5688.098580417854,4306.0,2022-01-07 08:00:00,sc_jong,6-1,N,12848029.0
68,2022-01-07 09:00:00,23584.0381648768,13194.000000000002,2022-01-07 09:00:00,sc_jong,6-1,N,12848502.0
69,2022-01-07 10:00:00,50786.43276564677,35668.0,2022-01-07 10:00:00,sc_jong,6-1,N,12849490.0
70,2022-01-07 11:00:00,89342.68201780632,50617.0,2022-01-07 11:00:00,sc_jong,6-1,N,12851274.0
71,2022-01-07 12:00:00,111434.4087772461,73898.0,2022-01-07 12:00:00,sc_jong,6-1,N,12853231.0
72,2022-01-07 13:00:00,98224.43935078764,91891.0,2022-01-07 13:00:00,sc_jong,6-1,N,12855023.0
73,2022-01-07 14:00:00,-11067.382759770304,38745.0,2022-01-07 14:00:00,sc_jong,6-1,N,12855686.0
74,2022-01-07 15:00:00,2568.9487192727915,7191.0,2022-01-07 15:00:00,sc_jong,6-1,N,12855823.0
75,2022-01-07 16:00:00,6655.037421640482,3450.0,2022-01-07 16:00:00,sc_jong,6-1,N,12855908.0
76,2022-01-07 17:00:00,1889.821685046644,355.0,2022-01-07 17:00:00,sc_jong,6-1,N,12855926.0
77,2022-01-08 07:00:00,1471.998119447012,664.0,2022-01-08 07:00:00,sc_jong,6-1,N,12855942.0
78,2022-01-08 08:00:00,8187.589955991936,8631.0,2022-01-08 08:00:00,sc_jong,6-1,N,12856094.0
79,2022-01-08 09:00:00,25339.141413717112,25569.0,2022-01-08 09:00:00,sc_jong,6-1,N,12856491.0
80,2022-01-08 10:00:00,50293.55033763214,71291.0,2022-01-08 10:00:00,sc_jong,6-1,N,12857548.0
81,2022-01-08 11:00:00,63348.71990841702,117990.0,2022-01-08 11:00:00,sc_jong,6-1,N,12859339.0
82,2022-01-08 12:00:00,64746.8952871339,103794.0,2022-01-08 12:00:00,sc_jong,6-1,N,12861037.0
83,2022-01-08 13:00:00,19156.954805287987,41373.0,2022-01-08 13:00:00,sc_jong,6-1,N,12861720.0
84,2022-01-08 14:00:00,21910.22695110938,21570.0,2022-01-08 14:00:00,sc_jong,6-1,N,12862100.0
85,2022-01-08 15:00:00,2131.0036435279035,6163.999999999999,2022-01-08 15:00:00,sc_jong,6-1,N,12862292.0
86,2022-01-08 16:00:00,12164.744095782278,4127.0,2022-01-08 16:00:00,sc_jong,6-1,N,12862409.0
87,2022-01-08 17:00:00,564.8632612175292,196.0,2022-01-08 17:00:00,sc_jong,6-1,N,12862426.0
88,2022-01-09 07:00:00,414.9689115850634,840.0,2022-01-09 07:00:00,sc_jong,6-1,N,12862446.0
89,2022-01-09 08:00:00,7881.017125838055,10083.0,2022-01-09 08:00:00,sc_jong,6-1,N,12862622.0
90,2022-01-09 09:00:00,22993.844504201137,20308.0,2022-01-09 09:00:00,sc_jong,6-1,N,12863063.0
91,2022-01-09 10:00:00,57535.46703288973,40945.0,2022-01-09 10:00:00,sc_jong,6-1,N,12864073.0
92,2022-01-09 11:00:00,51094.19176307455,56096.0,2022-01-09 11:00:00,sc_jong,6-1,N,12865487.0
93,2022-01-09 12:00:00,63932.38071944426,45302.0,2022-01-09 12:00:00,sc_jong,6-1,N,12866627.0
94,2022-01-09 13:00:00,55822.53046834785,38796.0,2022-01-09 13:00:00,sc_jong,6-1,N,12867769.0
95,2022-01-09 14:00:00,23402.35225466648,19643.0,2022-01-09 14:00:00,sc_jong,6-1,N,12868467.0
96,2022-01-09 15:00:00,15475.03892421628,11763.0,2022-01-09 15:00:00,sc_jong,6-1,N,12868904.0
97,2022-01-09 16:00:00,6397.258796194995,3005.0,2022-01-09 16:00:00,sc_jong,6-1,N,12869030.0
98,2022-01-09 17:00:00,-428.26251774468375,174.0,2022-01-09 17:00:00,sc_jong,6-1,N,12869048.0
99,2022-01-10 07:00:00,448.7228775187686,491.0,2022-01-10 07:00:00,sc_jong,6-1,N,12869059.0
100,2022-01-10 08:00:00,7962.260003070856,10850.0,2022-01-10 08:00:00,sc_jong,6-1,N,12869239.0
101,2022-01-10 09:00:00,24877.162795841046,35194.0,2022-01-10 09:00:00,sc_jong,6-1,N,12869785.0
102,2022-01-10 10:00:00,43753.58384437279,35692.0,2022-01-10 10:00:00,sc_jong,6-1,N,12870699.0
103,2022-01-10 11:00:00,94905.05191274908,58451.00000000001,2022-01-10 11:00:00,sc_jong,6-1,N,12872278.0
104,2022-01-10 12:00:00,135193.12370238057,67702.0,2022-01-10 12:00:00,sc_jong,6-1,N,12873917.0
105,2022-01-10 13:00:00,111713.95910376112,52722.0,2022-01-10 13:00:00,sc_jong,6-1,N,12875363.0
106,2022-01-10 14:00:00,54369.35123339801,27760.0,2022-01-10 14:00:00,sc_jong,6-1,N,12876043.0
107,2022-01-10 15:00:00,-7190.664395910819,9266.0,2022-01-10 15:00:00,sc_jong,6-1,N,12876397.0
108,2022-01-10 16:00:00,-4810.779686067303,4062.0,2022-01-10 16:00:00,sc_jong,6-1,N,12876524.0
109,2022-01-10 17:00:00,518.0339641359809,132.0,2022-01-10 17:00:00,sc_jong,6-1,N,12876542.0
110,2022-01-11 07:00:00,1485.4143932701336,335.0,2022-01-11 07:00:00,sc_jong,6-1,N,12876552.0
111,2022-01-11 08:00:00,9082.050062622628,8456.0,2022-01-11 08:00:00,sc_jong,6-1,N,12876708.0
112,2022-01-11 09:00:00,20855.142973878217,27158.0,2022-01-11 09:00:00,sc_jong,6-1,N,12877186.0
113,2022-01-11 10:00:00,54637.369565026784,70077.0,2022-01-11 10:00:00,sc_jong,6-1,N,12878312.0
114,2022-01-11 11:00:00,70329.95917211099,126274.0,2022-01-11 11:00:00,sc_jong,6-1,N,12880208.0
115,2022-01-11 12:00:00,84274.67247990203,132839.0,2022-01-11 12:00:00,sc_jong,6-1,N,12882224.0
116,2022-01-11 13:00:00,38261.2828144212,103032.0,2022-01-11 13:00:00,sc_jong,6-1,N,12884112.0
117,2022-01-11 14:00:00,26228.13990124158,30653.0,2022-01-11 14:00:00,sc_jong,6-1,N,12885012.0
118,2022-01-11 15:00:00,21169.076518714548,3995.0,2022-01-11 15:00:00,sc_jong,6-1,N,12885152.0
119,2022-01-11 16:00:00,-729.0890763871271,2067.0,2022-01-11 16:00:00,sc_jong,6-1,N,12885234.0
120,2022-01-11 17:00:00,-2225.130129450109,287.0,2022-01-11 17:00:00,sc_jong,6-1,N,12885257.0
121,2022-01-12 07:00:00,-1164.751637089076,256.0,2022-01-12 07:00:00,sc_jong,6-1,N,12885269.0
122,2022-01-12 08:00:00,6011.672291068017,4399.0,2022-01-12 08:00:00,sc_jong,6-1,N,12885404.0
123,2022-01-12 09:00:00,18507.705325213043,16252.0,2022-01-12 09:00:00,sc_jong,6-1,N,12885883.0
124,2022-01-12 10:00:00,32901.710852552846,23555.0,2022-01-12 10:00:00,sc_jong,6-1,N,12886470.0
125,2022-01-12 11:00:00,79429.77880349618,82719.0,2022-01-12 11:00:00,sc_jong,6-1,N,12889034.0
126,2022-01-12 12:00:00,43871.463604609766,66875.0,2022-01-12 12:00:00,sc_jong,6-1,N,12891017.0
127,2022-01-12 13:00:00,55605.45446122468,63187.0,2022-01-12 13:00:00,sc_jong,6-1,N,12892773.0
128,2022-01-12 14:00:00,35028.63848348829,33788.0,2022-01-12 14:00:00,sc_jong,6-1,N,12893766.0
129,2022-01-12 15:00:00,11292.172628391014,4732.0,2022-01-12 15:00:00,sc_jong,6-1,N,12893903.0
