,prediction,load,date,home_num,familyID,receivingAccumulatedActiveEnergy
70,-102.81849854525406,10.0,2022-01-09 10:00:00,137492263,6-1,7373510
71,30.348841088608676,20.0,2022-01-09 11:00:00,137509775,6-1,7373530
72,1246.241853043713,1350.0,2022-01-09 12:00:00,137527121,6-1,7374880
73,-333.43745545899606,490.0,2022-01-09 13:00:00,137544638,6-1,7375380
74,-217.2215761131512,70.0,2022-01-09 14:00:00,137562218,6-1,7375450
75,372.356570227034,390.0,2022-01-09 15:00:00,137580016,6-1,7375840
76,961.4052272389592,870.0,2022-01-09 16:00:00,137598129,6-1,7376710
77,1044.677763329269,1260.0,2022-01-09 17:00:00,137616288,6-1,7377980
78,858.8774787888226,1330.0,2022-01-09 18:00:00,137634312,6-1,7379320
79,360.6648197653223,830.0,2022-01-09 19:00:00,137652324,6-1,7380150
80,757.4434341937337,750.0,2022-01-09 20:00:00,137669426,6-1,7380900
81,1137.9862390307028,1040.0,2022-01-09 21:00:00,137686523,6-1,7381940
82,1076.1257622565026,1100.0,2022-01-09 22:00:00,137703304,6-1,7383040
83,695.4584539746074,740.0,2022-01-09 23:00:00,137719764,6-1,7383790
84,396.1687719195888,560.0,2022-01-10 00:00:00,137735782,6-1,7384360
85,551.7337756300033,610.0,2022-01-10 01:00:00,137751922,6-1,7384980
86,532.7513739139783,620.0,2022-01-10 02:00:00,137768205,6-1,7385600
87,458.8576933886459,540.0,2022-01-10 03:00:00,137784888,6-1,7386140
88,463.2710136978338,490.0,2022-01-10 04:00:00,137801114,6-1,7386630
89,542.832382931609,520.0,2022-01-10 05:00:00,137816985,6-1,7387150
90,767.8930105501499,780.0,2022-01-10 06:00:00,137833804,6-1,7387940
91,1155.3013691003555,1280.0,2022-01-10 07:00:00,137850908,6-1,7389230
92,317.9962865777306,740.0,2022-01-10 08:00:00,137868480,6-1,7389980
93,24.21673516331206,80.0,2022-01-10 09:00:00,137886109,6-1,7390060
94,97.22779156156028,10.0,2022-01-10 10:00:00,137903180,6-1,7390070
95,235.16402717972724,0.0,2022-01-10 11:00:00,137919889,6-1,7390070
96,430.04846380793055,10.0,2022-01-10 12:00:00,137936809,6-1,7390080
97,-170.7818527175106,0.0,2022-01-10 13:00:00,137953554,6-1,7390080
98,-70.85855605825327,30.0,2022-01-10 14:00:00,137970413,6-1,7390110
